iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
102,13056,-33.6737,338.7,0.00,2.00,-0.000422,0.010370,0.235982,0.609384,0.395323,-0.939061,1.000000,0.079752,0.140354,0,rule_nearest,28
103,13184,-33.8191,344.0,0.00,2.00,-0.004654,2.202897,0.236346,0.574041,0.487762,-1.000000,1.000000,-3.436575,2.139119,0,rule_nearest,29
104,13312,-33.8191,344.0,0.00,2.00,-0.014386,0.078575,0.236688,0.623798,0.397645,-1.000000,1.000000,-0.071043,0.695532,0,rule_nearest,29
105,13440,-33.4347,336.2,0.00,2.00,-0.002175,1.590361,0.236945,0.569294,0.489518,-1.000000,1.000000,-2.060612,2.165906,0,rule_nearest,30
106,13568,-33.4347,336.2,0.00,2.00,-0.007720,0.225247,0.237101,0.554832,0.524294,-1.000000,1.000000,-1.738167,2.509282,0,rule_nearest,30
107,13696,-33.4347,336.2,0.00,2.00,-0.004036,0.017214,0.237347,0.586654,0.390766,-0.864581,1.000000,0.005572,0.195422,0,rule_nearest,30
108,13824,-33.2948,337.1,0.00,2.00,-0.007097,1.662299,0.237428,0.526145,0.496734,-1.000000,1.000000,-3.135268,2.306579,0,rule_nearest,31
109,13952,-33.2948,337.1,0.00,2.00,0.000055,0.014907,0.237343,0.608637,0.372436,-0.905362,1.000000,-0.089027,0.099000,0,rule_nearest,31
110,14080,-33.3203,342.3,0.00,2.00,-0.004625,2.110010,0.237503,0.609332,0.449007,-1.000000,1.000000,-0.898004,1.333425,0,rule_nearest,32
111,14208,-33.3203,342.3,0.00,2.00,-0.001566,0.140516,0.237815,0.559837,0.513463,-1.000000,1.000000,-1.876693,2.228483,0,rule_nearest,32
112,14336,-33.3203,342.3,0.00,2.00,-0.003164,0.010990,0.238520,0.598449,0.418179,-0.899026,1.000000,0.074779,0.107055,0,rule_nearest,32
113,14464,-33.6157,334.9,0.00,2.00,-0.005332,1.784131,0.239067,0.538811,0.499003,-1.000000,1.000000,-3.152435,1.847167,0,rule_nearest,33
114,14592,-33.6157,334.9,0.00,2.00,-0.007244,0.059454,0.239555,0.572974,0.402509,-1.000000,1.000000,-0.288949,0.234389,0,rule_nearest,33
115,14720,-33.6157,334.9,0.00,2.00,-0.004014,0.021555,0.239732,0.541974,0.400217,-1.000000,1.000000,-0.120052,0.171029,0,rule_nearest,33
116,14848,-34.1886,334.5,0.00,2.00,-0.003497,2.308066,0.239727,0.507056,0.488477,-1.000000,1.000000,-3.276272,2.418638,0,rule_nearest,34
117,14976,-34.1886,334.5,0.00,2.00,-0.000722,0.022619,0.240062,0.564226,0.376920,-1.000000,1.000000,0.065734,0.129664,0,rule_nearest,34
118,15104,-34.1886,334.5,0.00,2.00,-0.006759,0.077702,0.240287,0.566684,0.404619,-1.000000,1.000000,-0.533745,0.170234,0,rule_nearest,34
119,15232,-34.6862,333.6,0.00,2.00,-0.003624,2.299332,0.240542,0.507039,0.480081,-1.000000,1.000000,-3.361705,2.528660,0,rule_nearest,35
120,15360,-34.6862,333.6,0.00,2.00,-0.002880,0.038148,0.241007,0.592944,0.382510,-1.000000,1.000000,0.402349,0.111791,0,rule_nearest,35
121,15488,-34.8159,339.0,0.00,2.00,-0.004992,2.179383,0.241450,0.571803,0.395783,-1.000000,1.000000,-0.972440,1.076561,0,rule_nearest,36
122,15616,-34.8159,339.0,0.00,2.00,-0.002339,0.150216,0.241863,0.557605,0.481300,-1.000000,1.000000,-3.138273,2.446461,0,rule_nearest,36
123,15744,-34.8159,339.0,0.00,2.00,-0.005020,0.102488,0.241747,0.605682,0.380430,-1.000000,1.000000,0.539114,0.101076,0,rule_nearest,36
124,15872,-34.6892,341.5,0.00,2.00,-0.005189,1.569576,0.241736,0.561229,0.483789,-1.000000,1.000000,-2.108257,2.385837,0,rule_nearest,37
125,16000,-34.6892,341.5,0.00,2.00,-0.003558,0.119046,0.241771,0.551631,0.485909,-1.000000,1.000000,-1.549985,1.732950,0,rule_nearest,37
126,16128,-34.6892,341.5,0.00,2.00,-0.001590,0.017470,0.241666,0.576013,0.377974,-1.000000,1.000000,-0.199956,0.134384,0,rule_nearest,37
