team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination,pn_guidance_frames,pn_nonzero_command_frames,maximum_command_g
blue,blue_0,red_0,m0,51,605,5019.477064540375,0.06732273120679744,3.8573083634431726,1.5732922058125691,90.14300333388789,5019.477064540375,4982.849814570258,-605.2749184329441,301.9844509921052,261.3801607510642,325.90798122959166,5922.224424417678,5316.949505984734,True,hit,hit,True,7.966666666666644,51,91,40,False,477,477,17.26772928834613
blue,blue_1,red_1,m1,60,712,4234.680519369379,0.10193004697117633,5.840161497018643,1.573250569196592,90.1406177315192,4234.680519369379,4187.093140215342,-633.0640854511794,301.7253992563948,249.66041829820057,298.03839149873386,5928.098918237558,5295.0348327863785,True,hit,hit,True,6.366666666666649,60,92,32,False,381,381,24.50910738049193
blue,blue_0,red_0,m0,63,755,3841.1252793659432,0.2185545536376913,12.522253516805286,1.573535851069984,90.15696317883615,3841.1252793659432,3834.5242552435147,-225.09364214314337,301.5065599487938,249.1453422106542,321.3020301375835,5872.013089174497,5646.919447031353,True,p_hit_fail,miss,False,5.483333333333319,63,91,28,True,328,328,26.352970049620506
blue,blue_1,red_1,m1,74,878,2861.093848566837,0.34717703012983453,19.891778570325737,1.5714520634406988,90.03757094227653,2861.093848566837,2792.62869707512,-622.159923636611,301.1191746117116,263.11019888592887,272.24484709712544,5741.335717718268,5119.175794081657,True,hit,hit,True,4.24999999999999,74,95,21,False,254,254,30.000000000000007
blue,blue_0,red_0,m2,91,1084,2961.1359198716573,0.44412391222240993,25.446425751182726,2.5602290641731313,146.69031996384882,2961.1359198716573,2944.0437812312653,-317.6982060819373,298.79625522665697,283.43777559655246,29.892025938497838,5591.406881767629,5273.708675685692,True,hit,hit,True,5.566666666666652,91,119,28,False,333,333,30.000000000000007
blue,blue_0,red_0,m0,66,791,3116.746216088235,0.16275633364773293,9.325251007038167,1.574519052601401,90.21329647699714,3116.746216088235,3088.0732241174196,-421.7946633012061,301.7567882644969,251.18778047187052,326.3487063563608,5856.733175142499,5434.938511841293,True,hit,hit,True,4.516666666666656,66,89,23,False,270,270,28.889102591489472
blue,blue_1,red_2,m3,120,1432,4374.769646772834,0.47873130800105174,27.429283469237763,3.003088514153112,172.06429736518672,4374.769646772834,4374.454884919688,52.47782509961144,296.8135886179686,254.58074184580715,18.802577001480138,5019.122811872512,5071.6006369721235,True,hit,hit,True,7.883333333333311,120,159,39,False,472,472,20.544224177593666
blue,blue_0,red_1,m1,90,1076,4195.688833812755,0.5982769680571092,34.27874524955552,2.6738300723818376,153.1991782826387,4195.688833812755,4181.4401513785915,-345.4895810585476,299.2754083933292,246.84070337313858,23.777496908369535,5534.35698613639,5188.867405077843,True,hit,hit,True,7.533333333333312,90,128,38,False,451,451,30.000000000000007
blue,blue_1,red_2,m2,129,1542,4093.5349420055463,0.1289568651411997,7.38868411182847,3.0638363619251843,175.54489265702966,4093.5349420055463,4033.794120943493,-696.8022038297995,297.6699999146749,250.77915057379727,50.02539401240678,5007.349404115996,4310.547200286196,True,hit,hit,True,7.449999999999979,129,166,37,False,446,446,6.546664729607951
blue,blue_0,red_0,m0,67,795,3039.9961296644697,0.15723329387592588,9.008804138030726,1.5740765105710022,90.18794068639814,3039.9961296644697,3029.105029085615,-257.0976295946566,301.6948306757378,260.55419282100627,337.20768562774464,5972.19800830214,5715.100378707483,True,p_hit_fail,miss,False,4.266666666666657,67,88,21,True,255,255,30.000000000000004
blue,blue_0,red_0,m1,88,1051,2333.1079161376533,0.38928885378524136,22.304608333379733,2.5003455491241096,143.25924728913174,2333.1079161376533,2300.3827838190828,-389.39901932715657,299.77689827940134,280.35355010628024,40.56911789368136,5719.239139231919,5329.840119904762,True,hit,hit,True,4.34999999999999,88,110,22,False,260,260,30.000000000000004
blue,blue_1,red_1,m2,111,1326,2819.7086651567656,0.48646358205055773,27.872310138312987,2.8158575408379076,161.33675280009896,2819.7086651567656,2816.406631031511,136.42083800462206,291.3063738413296,248.47292696900263,36.869061032161525,5494.765003600924,5631.185841605546,True,hit,hit,True,4.866666666666655,111,135,24,False,291,291,30.000000000000007
blue,blue_2,red_1,m1,81,970,2066.673164752529,0.11627506752019122,6.662070631505636,1.653020199642346,94.71108088937918,2066.673164752529,2044.9913540727543,-298.5771787593894,301.0733322014463,250.14286121611383,295.42384361999393,5774.562096108853,5475.984917349464,True,hit,hit,True,2.6999999999999953,81,95,14,False,161,161,30.000000000000004
blue,blue_0,red_0,m0,80,959,2108.9717313759334,0.4781328857955086,27.39499640249323,1.5766862390680796,90.33746711495569,2108.9717313759334,1965.886382169582,-763.578742595022,301.8877621642503,247.95023050553854,240.0471900398538,5612.1636928068965,4848.5849502118745,True,overshoot,miss,False,4.783333333333322,80,104,24,True,287,287,30.000000000000007
blue,blue_1,red_2,m3,136,1632,3515.1669068879614,0.3639123237496194,20.850640263651623,3.087776398319437,176.9165557038099,3515.1669068879614,2910.6820011370673,-1970.8700290828401,296.8705076869715,270.9292845247865,0.974083006601667,5104.771801440222,3133.9017723573816,True,hit,hit,True,6.799999999999981,136,170,34,False,407,407,29.464276084754207
blue,blue_1,red_2,m2,96,1146,3110.0380324924517,0.7839932834185939,44.91950630648921,2.711163757236241,155.33824085846751,3110.0380324924517,3091.9074371659576,-335.3281430887673,297.904923922831,251.77111598518448,-14.645312615983165,5542.84272974446,5207.514586655692,True,hit,hit,True,5.983333333333317,96,126,30,False,358,358,30.000000000000007
blue,blue_0,red_0,m3,106,1262,1985.9643080909195,0.7538196611314675,43.190685096814995,3.0945434429052874,177.304278798356,1985.9643080909195,1736.4679047480695,-963.7081761565032,297.9384134757712,292.1238696026221,-102.28996611529828,5073.436115842145,4109.727939685642,True,hit,hit,True,4.4499999999999895,106,128,22,False,266,266,30.000000000000007
blue,blue_0,red_0,m0,60,718,3787.130707566085,0.06136233155870229,3.5158026193960596,1.5741560240602341,90.19249647374549,3787.130707566085,3777.9456901412823,263.60075594145474,299.3208513153942,247.88680208510576,341.6724152980015,6097.532607432073,6361.133363373528,True,hit,hit,True,5.466666666666653,60,88,28,False,327,327,28.939996243532345
blue,blue_2,red_0,m1,82,980,2879.962062884394,0.35192236630786516,20.163666305697635,1.7596269396488378,100.81919715939962,2879.962062884394,2879.7983061049354,30.711558222907115,300.317633974241,248.98718715413153,227.55741459313447,5725.839069916513,5756.55062813942,True,p_hit_fail,miss,False,4.149999999999991,82,103,21,True,248,248,30.000000000000007
