team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_0,m2,161,1923,4630.196310129886,0.7390326242053146,42.34345028944233,2.7119398075748875,155.38270526756165,4817.425230058117,4630.196310129886,-1329.9879611711121,283.30363120654823,241.72239173617044,-68.02709327296326,6100.470155029116,4770.4821938580035,True,hit,True,11.983333333333508,161,221,60,False
blue,blue_0,red_0,m0,68,810,3288.2460067897755,0.4952611632101385,28.376374408680775,1.6124991083283018,92.38939337582023,3347.317775686325,3288.2460067897755,-626.0786613970658,336.92944842465954,261.7096103389698,269.24377246360916,5699.576609922413,5073.497948525347,True,hit,True,5.516666666666652,68,95,27,False
blue,blue_0,red_1,m1,70,840,2975.87081340073,0.6304280554189303,36.120866862144275,1.6323744559925357,93.52816691333604,3068.5839512844473,2975.87081340073,-748.5989367011862,338.46861859438417,251.81414002265623,237.21377162986596,5654.197277915739,4905.598341214552,True,hit,True,5.466666666666653,70,98,28,False
blue,blue_0,red_0,m2,143,1715,4200.498961800118,0.7378153856882905,42.27370765975609,2.5698565363728054,147.2419334882697,4842.537427554592,4200.498961800118,-2409.5595467186895,291.4486986690557,246.17292313862004,-89.32803655865686,6370.779938545023,3961.220391826333,True,hit,True,11.050000000000129,143,199,56,False
blue,blue_1,red_0,m1,170,2036,5015.857963044203,0.7328029470400437,41.98651608014328,2.0081347765423674,115.05764738932432,6075.5121962595795,5015.857963044203,-3428.2673964358382,284.75798209888745,239.54290699905582,-39.92086266406979,6422.863491440986,2994.5960950051476,True,hit,True,11.950000000000173,170,230,60,False
blue,blue_0,red_1,m0,74,879,2820.1339138235458,0.7201995913875218,41.26439699355143,1.6146194471913873,92.51087984381259,2884.2568643113023,2820.1339138235458,-604.7994439722597,339.12543831549357,254.68220833916092,226.81360237202443,5590.6070417447345,4985.807597772475,True,hit,True,5.116666666666654,74,99,25,False
blue,blue_0,red_0,m1,76,909,2436.7597269278253,0.7088152486112782,40.61212219994243,1.6723487571659392,95.81852565955691,2564.0351441640782,2436.7597269278253,-797.7958722199146,340.5090805819492,270.56157132848597,215.95794734392814,5541.11571031259,4743.319838092675,True,kill_cooldown_blocked,False,4.716666666666655,76,100,24,True
blue,blue_0,red_0,m0,67,799,3238.244814496126,0.4269287649606666,24.4612163849789,1.6501493841054535,94.54659527535466,3323.5920926222666,3238.244814496126,-748.3548085836073,337.1187739591442,260.6376063676608,263.6818969237759,5728.808666307672,4980.453857724065,True,hit,True,5.8499999999999845,67,96,29,False
blue,blue_0,red_1,m1,74,882,2618.812397136478,0.694341462463591,39.78283534010503,1.6055212301689692,91.98959040733395,2656.290137502678,2618.812397136478,-444.6334706230409,341.6670392747707,255.71518662850693,236.0955550440046,5599.022201123834,5154.388730500793,True,hit,True,4.949999999999988,74,99,25,False
blue,blue_0,red_0,m1,75,894,2476.934385918206,0.7378233108968724,42.27416174075959,1.6530391369657345,94.71216591808461,2552.34787835328,2476.934385918206,-615.8536676764152,341.8114555079007,254.78899899572403,220.1377841261379,5531.922799137138,4916.069131460723,True,hit,True,4.783333333333322,75,99,24,False
blue,blue_0,red_1,m0,66,781,3529.91243864463,0.6032570180777804,34.56408109750402,1.6020143087462464,91.78865861072792,3670.5162530678663,3529.91243864463,-1006.1847442379994,335.85687315935087,269.85387056851937,229.33290110022006,5713.40273362906,4707.217989391061,True,kill_cooldown_blocked,False,6.916666666666647,66,100,34,True
blue,blue_0,red_1,m0,71,851,3020.186722328927,0.6816944261619452,39.05821353667199,1.6164621276864553,92.61645765917106,3139.8241211456216,3020.186722328927,-858.4682137364953,332.7228525444937,266.29641661986295,214.57310491946325,5850.4647430782015,4991.996529341706,True,hit,True,6.1499999999999835,71,102,31,False
blue,blue_0,red_0,m2,148,1775,4400.159728805089,0.742389114129127,42.53576299605497,2.7019109249174393,154.80809261805794,4781.2006278378285,4400.159728805089,-1870.4207560436143,286.4052478720947,256.50538146452845,-105.08119685117485,6227.842314885287,4357.421558841673,True,hit,True,11.050000000000129,148,204,56,False
blue,blue_0,red_0,m0,75,899,2576.769899342805,0.6793623701453675,38.924596569334,1.666526141292202,95.48491434426587,2766.2557821025916,2576.769899342805,-1006.1947812709486,339.8747346496279,265.5636208338282,216.99877947980056,5582.942549967124,4576.747768696176,True,hit,True,5.18333333333332,75,101,26,False
blue,blue_0,red_1,m2,148,1771,5246.478629491444,0.7423150823566282,42.53152128794092,2.9807543102860983,170.78464174482207,5622.739533848899,5246.478629491444,-2022.291239113919,292.47894342402293,240.7238365753022,-85.16047941557227,6265.387946862223,4243.096707748304,True,hit,True,12.883333333333553,148,212,64,False
blue,blue_0,red_1,m0,60,712,3883.102453088401,0.4636448475365208,26.564892956829166,1.575678872020883,90.27974923473077,3916.217520233554,3883.102453088401,-508.2076392608524,330.66904404240853,249.14869618239257,279.05329518789824,5806.638851017153,5298.4312117563,True,hit,True,5.8499999999999845,60,89,29,False
blue,blue_0,red_0,m1,69,825,3596.644136080137,0.5495929790397764,31.489358149001106,1.6153173533165235,92.55086691927923,3711.602030128687,3596.644136080137,-916.5918330728018,337.27030908143905,260.17161561095287,253.60832375759497,5621.265715695817,4704.673882623015,True,hit,True,7.5499999999999785,69,107,38,False
blue,blue_1,red_0,m1,177,2121,6013.831631766131,0.729143899808184,41.776868116718695,2.2456395538257827,128.6656687418586,6809.877047764565,6013.831631766131,-3195.0359169248395,275.7484841917937,252.2947045623245,-70.59623318236886,6395.424956609795,3200.3890396849556,True,hit,True,13.816666666666933,177,246,69,False
blue,blue_0,red_1,m0,59,701,4177.282807734098,0.43987554507192916,25.20301224363816,1.591544260419376,91.18876903030024,4299.572180480666,4177.282807734098,-1018.1499297119271,330.2666748285982,269.6239523466682,254.43734152637091,5856.121285262203,4837.971355550276,True,hit,True,6.849999999999981,59,93,34,False
blue,blue_0,red_0,m1,70,832,3215.089093364989,0.5853288257958479,33.53687134545027,1.6034363892007502,91.87013781889904,3258.941052629058,3215.089093364989,-532.821645803253,337.6396596408723,248.20524063870008,253.86314477663223,5678.996951090539,5146.175305287286,True,hit,True,5.3833333333333195,70,97,27,False
blue,blue_0,red_1,m1,165,1972,5621.451115167995,0.742935069261563,42.567043920947064,2.4968888737232784,143.0611943775174,6632.721726177867,5621.451115167995,-3520.2677251437,289.30907241311724,234.07843762672164,-86.6408938105154,6313.904106814803,2793.6363816711028,True,hit,True,14.16666666666695,165,236,71,False
blue,blue_0,red_1,m0,60,716,4148.100680104768,0.45907540094612825,26.303082952489227,1.6094117267383274,92.2124994409683,4233.526334577397,4148.100680104768,-846.171361648866,332.8515362008176,262.0010364459225,262.27589724539104,5804.732533127953,4958.561171479087,True,hit,True,6.399999999999983,60,92,32,False
blue,blue_0,red_0,m1,66,792,3529.6571977164567,0.5362906251189091,30.727189411746107,1.6504853831299113,94.5658466013766,3578.5462385708624,3529.6571977164567,-589.5025429954303,336.9591308986673,264.8495573174492,252.0835506178601,5702.501516590453,5112.998973595023,True,hit,True,6.499999999999982,66,99,33,False
blue,blue_0,red_1,m0,70,834,3171.2772924752067,0.5842395799740354,33.47446215700816,1.643929125046626,94.19020068380581,3247.3390325691394,3171.2772924752067,-698.7210650024772,338.4523436674324,268.61035892856387,235.54671723100046,5660.978762314354,4962.257697311877,True,miss,False,6.11666666666665,70,100,30,True
blue,blue_0,red_0,m1,72,864,3074.760138365791,0.4963863044705206,28.4408402542567,1.6293520623024933,93.35499651086963,3210.8462287505695,3074.760138365791,-924.8695022534448,340.1251644087145,260.276601044991,251.6987498205048,5602.798784694503,4677.929282441059,True,hit,True,5.883333333333318,72,102,30,False
blue,blue_0,red_0,m0,62,737,3898.241436802226,0.41949235571798066,24.03514152064092,1.6506070478211026,94.57281747469763,3956.276639618067,3898.241436802226,-675.1581663475135,332.41424008074887,258.2517331148613,264.8246763587883,5807.178703798176,5132.020537450662,True,hit,True,6.716666666666648,62,95,33,False
blue,blue_1,red_1,m1,64,762,3743.2731710369944,0.46447520063923436,26.612468685120245,1.6652128694935886,95.40966941285178,3806.2516786045558,3743.2731710369944,-689.534486356295,332.7362180321121,263.76012719311683,248.88626877731855,5853.394595239718,5163.860108883423,True,miss,False,6.899999999999981,64,98,34,True
blue,blue_0,red_0,m0,72,857,2844.6896013245114,0.48028359124808534,27.518222747901653,1.6421994664765422,94.0910985477414,2946.673267746492,2844.6896013245114,-768.5209294274173,338.5820097061341,258.80432932429466,260.9873118160084,5639.571095998978,4871.050166571561,True,hit,True,5.499999999999986,72,99,27,False
blue,blue_1,red_1,m1,74,882,2625.5249127475136,0.6390812981876066,36.61666115189153,1.6409213473850517,94.01786771808389,2757.9518733895807,2625.5249127475136,-844.3444015774967,337.33134629605047,253.67001817880018,212.2251274811446,5700.257354054962,4855.912952477465,True,hit,True,5.416666666666653,74,101,27,False
blue,blue_0,red_1,m0,62,739,3816.9750520203997,0.3365257896667367,19.28150744521126,1.593065761225531,91.27594460501868,4075.9081567721532,3816.9750520203997,-1429.590415012508,313.96337563876386,265.8698423805237,208.9463751420579,6276.112420241894,4846.522005229386,True,hit,True,6.816666666666648,62,96,34,False
blue,blue_0,red_0,m1,77,916,2402.6556318559306,0.7251202089627756,41.546327613211375,1.5955266446007246,91.41694283629117,2797.577458573484,2402.6556318559306,-1433.068578760086,319.0150332725259,270.64271290109593,140.3114701826865,6283.0618964473615,4849.9933176872755,True,hit,True,5.8499999999999845,77,106,29,False
blue,blue_0,red_1,m2,146,1747,4816.4873999798565,0.7387090331356382,42.32490988686175,2.5113747567759948,143.89117433895814,5228.504622968308,4816.4873999798565,-2034.3819007836873,294.0138598833655,254.94691047085178,-73.8271993866769,6183.394648048726,4149.012747265038,True,hit,True,10.916666666666789,146,201,55,False
blue,blue_0,red_1,m0,61,721,3734.464440237904,0.42991534783958,24.63233497910667,1.6303239894550972,93.410683834708,3798.0128995034784,3734.464440237904,-691.86510924704,329.0000779685135,252.46767679848907,264.0203404150994,5875.644538767453,5183.779429520413,True,hit,True,6.649999999999982,61,94,33,False
blue,blue_0,red_1,m2,146,1749,4926.287240313986,0.752603130764785,43.12098304115459,3.131176381004859,179.40319154262545,5257.306150091703,4926.287240313986,-1836.0179687877917,289.69953149754207,245.97909522362687,-105.7075224246076,6064.340105225569,4228.322136437777,True,hit,True,13.266666666666906,146,212,66,False
blue,blue_0,red_1,m0,61,729,3923.5891195000922,0.4212187380643771,24.134055942915328,1.6455606730006955,94.28368149564722,4052.4094887501415,3923.5891195000922,-1013.6424842382412,330.43814701206827,262.74501765779104,239.48743581765464,5890.530883462365,4876.8883992241235,True,hit,True,7.383333333333312,61,98,37,False
blue,blue_0,red_0,m1,77,914,2569.2289759474797,0.7328594098753904,41.989751162307996,1.6064680664556839,92.04384013045254,2698.936569472771,2569.2289759474797,-826.6323700347803,342.5960176181017,268.09451966512137,212.2888489243254,5509.120188281996,4682.487818247216,True,hit,True,5.23333333333332,77,103,26,False
blue,blue_0,red_1,m0,72,864,3086.145474630086,0.6698178059797667,38.37773332535327,1.6392152831393856,93.92011743722905,3162.280431654349,3086.145474630086,-689.727219880625,339.9183891449725,264.18094645512025,219.10749132211575,5599.853677599942,4910.126457719317,True,kill_cooldown_blocked,False,6.549999999999982,72,105,33,True
blue,blue_0,red_0,m0,60,720,3987.1333318051334,0.41200214171353844,23.605983870536594,1.6248383899151722,93.09638213297139,4016.283372688105,3987.1333318051334,-483.0113085005696,332.28638651213464,250.40414492240708,277.7251119741215,5831.842841929605,5348.8315334290355,True,hit,True,6.933333333333314,60,95,35,False
blue,blue_0,red_1,m1,70,836,3283.5982830724192,0.7164437903481897,41.04920544530685,1.646829464450367,94.35637789079567,3360.5440702160336,3283.5982830724192,-715.0096245981631,338.8816246285647,257.0021763178228,215.83814995359492,5674.005410883299,4958.995786285136,True,hit,True,6.399999999999983,70,102,32,False
