team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_2,m0,55,654,5000.986779320533,0.317385181947446,18.184831405580383,1.6410291295663955,94.0240431821816,5000.986779320533,4999.456930871226,-123.6897865727824,251.16025789198292,256.7214990063948,244.18328341405686,5993.952629163762,5870.26284259098,True,hit,hit,True,7.98333333333331,55,95,40,False
blue,blue_0,red_0,m2,56,672,4937.506277849084,0.09643366837110409,5.5252422006284805,1.5875631354592166,90.96066737236892,4937.506277849084,4908.346508895112,-535.8197387333557,248.88326805680578,262.4479094024731,244.95746286511968,6018.059237715965,5482.239498982609,True,hit,hit,True,7.666666666666645,56,95,39,False
blue,blue_0,red_2,m0,49,582,5443.5974237056635,0.2990000953717262,17.131443538809012,1.652000180592875,94.65263810282154,5443.5974237056635,5393.455277304948,-737.152008127453,257.1575014587472,270.99474008071354,246.02309975304843,6038.406817991878,5301.254809864425,True,hit,hit,True,9.333333333333377,49,96,47,False
blue,blue_0,red_0,m1,58,694,4778.315176678179,0.09312569135953253,5.335709079139131,1.746072344014614,100.04257603655215,4778.315176678179,4723.24652431987,-723.3520568666991,249.97466098157926,269.44855082227025,213.7122407594292,6003.1546598435825,5279.8026029768835,True,p_hit_fail,miss,False,7.649999999999978,58,96,38,True
blue,blue_0,red_1,m1,51,609,5240.156944880014,0.13537203569313314,7.756246309310867,1.6568817483998828,94.93233133557003,5240.156944880014,5194.240578584347,-692.1774474525973,254.31765306963993,273.063253666645,247.82919453546114,6044.794317791598,5352.616870339,True,hit,hit,True,8.950000000000024,51,96,45,False
blue,blue_0,red_2,m0,52,618,5216.77340444984,0.2064146241674736,11.826686794575322,1.6687632594731996,95.61309177430903,5216.77340444984,5189.957102259203,-528.2707923824992,253.5078989158677,268.02484330260245,257.2089728249698,6018.851752906451,5490.580960523952,True,hit,hit,True,9.100000000000032,52,97,45,False
blue,blue_0,red_1,m1,55,653,4995.684774383082,0.17440191383382664,9.992493601682513,1.5936396751092623,91.30882744836045,4995.684774383082,4965.176074869616,-551.2648279595714,252.274724154506,266.9931823979523,251.3587011732379,6017.421610872381,5466.15678291281,True,hit,hit,True,8.566666666666672,55,98,43,False
blue,blue_0,red_0,m1,61,726,4430.6605488116575,0.16572952908903452,9.495602557492285,1.675067847061829,95.97431803470805,4430.6605488116575,4388.4975414907285,-609.7886741534712,245.85342586711744,269.8345299355759,229.2895163508494,5944.550881186171,5334.7622070327,True,hit,hit,True,7.333333333333313,61,98,37,False
blue,blue_0,red_0,m1,61,721,4835.9908957389125,0.1039794716867478,5.957584883650688,1.6510157959358214,94.59623701655494,4835.9908957389125,4802.692852672764,-566.523879951762,245.24106156293308,265.01215703054055,224.62940076491415,5950.81789780346,5384.294017851698,True,hit,hit,True,7.683333333333311,61,99,38,False
blue,blue_0,red_1,m2,55,655,5199.739899286218,0.15886225101866175,9.102136507317182,1.7981938946065608,103.0289209071483,5199.739899286218,5146.550726773856,-741.8292505506561,252.1247524793881,272.5329971771105,203.76926457640297,6020.413697087626,5278.58444653697,True,hit,hit,True,8.800000000000017,55,99,44,False
blue,blue_0,red_1,m2,63,756,4479.233843174327,0.29527524795759036,16.91802550264881,1.7330179556714604,99.29461468036467,4479.233843174327,4405.819490113445,-807.6449977401971,243.8141681106332,272.4662239348917,201.4034097824122,5924.210717763063,5116.565720022866,True,hit,hit,True,8.349999999999994,63,105,42,False
blue,blue_0,red_1,m2,69,821,4102.096875524867,0.27460810961167553,15.733885700814904,1.6000282220163573,91.67486422335834,4102.096875524867,4010.092303903107,-863.9204190016271,241.40266995756477,273.01803459847537,213.55585725556784,5888.787522543959,5024.867103542332,True,p_hit_fail,miss,False,7.6333333333333115,69,107,38,True
blue,blue_0,red_1,m2,61,726,4793.268030060317,0.23730311173819335,13.596466767919864,1.7449399145733793,99.97769260897304,4793.268030060317,4718.314659949025,-844.3489667835411,248.4108768133981,278.2909888158907,201.75228655695992,5979.190280649578,5134.841313866037,True,hit,hit,True,9.733333333333396,61,110,49,False
blue,blue_0,red_0,m2,73,868,4056.252033650009,0.23274541194917578,13.335329805721491,1.7399569764315768,99.692191283873,4056.252033650009,3864.7556534576424,-1231.602330120004,242.09049425006125,279.2332789440365,165.2756496564063,5840.095329551161,4608.492999431157,True,hit,hit,True,8.349999999999994,73,114,41,False
blue,blue_0,red_0,m3,100,1196,3240.8930508984545,0.2813696262774678,16.12129206887217,1.7463766972236439,100.06001419091082,3240.8930508984545,2950.3293545351544,-1341.2473549387041,246.98206470764782,261.05850738974294,155.78862260725361,5517.891811797368,4176.644456858664,True,hit,hit,True,6.6166666666666485,100,133,33,False
blue,blue_0,red_1,m3,108,1293,3079.4645169752534,0.21574697550719257,12.361391139274478,1.9110692129864688,109.49620026151248,3079.4645169752534,2894.953230014365,-1049.9273819360196,247.34063695701502,256.5058224742106,115.59971339373392,5332.557734885599,4282.630352949579,True,hit,hit,True,6.049999999999984,108,138,30,False
blue,blue_0,red_2,m3,93,1105,4027.055392209579,0.4604252234739991,26.38042208642791,2.174750940122646,124.60405036113562,4027.055392209579,3943.038898117281,-818.302743401432,251.15209553486568,301.303704149758,74.78538852463896,5707.479581495049,4889.176838093617,True,hit,hit,True,10.750000000000114,93,146,53,False
blue,blue_0,red_2,m3,93,1115,4060.9642228176285,0.5567022569924821,31.896689771076545,1.8950859214671016,108.5804251147255,4060.9642228176285,4008.10230773045,-653.105129187199,248.54269785650595,302.35387194802087,107.97706567806082,5640.490146756085,4987.385017568886,True,hit,hit,True,10.733333333333446,93,147,54,False
blue,blue_0,red_0,m1,58,694,4577.355048845956,0.0750512915146427,4.3001222507950345,1.6343828351247556,93.64323856127437,4577.355048845956,4538.2062828556855,-597.3800946171068,249.79283149048874,270.5281185274322,254.4476305429508,6028.089202065139,5430.709107448032,True,hit,hit,True,7.14999999999998,58,94,36,False
